p	49633036
the	32831072
i	27961659
to	23441845
a	20921032
gt	17437657
lt	15568815
is	12866239
in	12165050
and	11896737
pre	10993780
of	9334959
it	8542269
that	7238632
for	6896286
have	5472713
ve 0
on	5349598
with	5192136
my	5181910
if	5011922
but	4663187
can	4321643
not	4161949
be	3905743
how	3854689
from	3841329
t	3693952
as	3668087
li	3561672
an	3287681
s	3200870
do	3072804
m	3000056
strong	2962269
id	2959331
or	2908185
when	2840340
at	2808870
so	2685798
am	2634930
-	2629404
what	2531572
there	2525127
are	2459813
any	2338733
all	2064187
which	2041485
want	1995446
would	1951517
some	1862028
you	1761026
by	1728576
align 0
